replicate,repository,position,notes_added,chars_added,cum_notes,cum_chars
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,9,1,1320,25,21516
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,10,6,3147,31,24663
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,11,4,2238,35,26901
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,12,1,2043,36,28944
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,13,3,2477,39,31421
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,14,3,2576,42,33997
ctxlimit-shuffle2,paperless-ngx/paperless-ngx,15,5,3556,47,37553
ctxlimit-shuffle2,simple-login/app,1,2,1326,2,1326
ctxlimit-shuffle2,simple-login/app,2,4,4814,6,6140
ctxlimit-shuffle2,simple-login/app,3,1,2130,7,8270
ctxlimit-shuffle2,simple-login/app,4,3,3466,10,11736
ctxlimit-shuffle2,simple-login/app,5,1,1113,11,12849
ctxlimit-shuffle2,simple-login/app,6,1,1716,12,14565
ctxlimit-shuffle2,simple-login/app,7,2,2048,14,16613
ctxlimit-shuffle2,simple-login/app,8,0,0,14,16613
ctxlimit-shuffle2,simple-login/app,9,2,1807,16,18420
ctxlimit-shuffle2,simple-login/app,10,1,1486,17,19906
ctxlimit-shuffle2,simple-login/app,11,1,611,18,20517
ctxlimit-shuffle2,simple-login/app,12,2,1680,20,22197
ctxlimit-shuffle2,simple-login/app,13,6,3259,26,25456
ctxlimit-shuffle2,simple-login/app,14,4,3495,30,28951
ctxlimit-shuffle2,simple-login/app,15,0,0,30,28951
